;von;bis;;
Datum:;28.06.2020;28.06.2020;;
Enthalt Z;49;51;;
;;;;;
;PLU;Anzahl;Total;%;Trinkgeld
Umsatz;;;;;
Total;;;0.00;100.00 %;
Auslagen;;;0.00;100.00 %;
Bedienungsgeld;;;0.00;100.00 %;
Trinkgeld;;;0.00;100.00 %;
;;;;
Umsatz (Brutto);;;;;
Total;;;0.00;100.00 %;
;;;;
Umsatz (Netto);;;;;
Total;;;0.00;100.00 %;
;;;;
Steuern;;;;;
Total;;;0.00;100.00 %;
;;;;
Zahlungsarten;;;;;
Total;;0;0.00;100.00 %;0.00
;;;;
Umsatzdetails;;;;;
Martin;;;0.00;100.00 %;0.00
Total;;;0.00;100.00 %;0.00
;;;;
Stornos;;;;;
Training/Testbuchung;;6;15.40;100.00 %;
Total;;6;15.40;100.00 %;
;;;;
Rabatte;;;;;
Total;;0;0.00;100.00 %;
;;;;
Tische;;;;;
;;;;
;;;;
Warengruppen;;;;;
;;;;
Produkte;;;;;
;;;;
